feature,importance
ret1_lag2,0.037266620706280736
ema200_d,0.03614537498274349
ret_1,0.03611727102943487
ret_2,0.03175131183426793
ema100_d,0.030238308079102452
macd_h,0.029671456137283822
ret1_lag3,0.02831421799646732
ema8_d,0.028253737102457162
vol5,0.028068240149509524
ema21_sl,0.027137927961337054
ema8_sl,0.026501447286197313
chop,0.025481075358786968
ret_3,0.025450185945411725
vol20,0.02488009497134129
roc5,0.02418033483096532
ret1_lag1,0.02347316943030537
ret_50,0.02310963439900469
spr,0.022252301840275147
ema21_d,0.022112650072482087
upper_wick,0.021059488970785745
lower_wick,0.020453309047834014
vr5,0.019821361810976924
bb_w,0.019321867896701924
ret_10,0.01859192523586289
vr,0.018487624817678273
ema55_sl,0.0180833918659451
rsi14_lag2,0.01795135801055433
ret_5,0.01765260310571185
macd_s,0.0170514989130812
atr_r,0.01662793679884101
atr14,0.01662403490798026
macd,0.016501079505002406
roc10,0.01613546659083899
vol_ratio,0.016015173077480876
ema55_d,0.015123996148357955
body,0.013962463568546284
bb_pos,0.013702877020311826
srsi_d,0.013676728494033518
dim,0.013219069594021415
ret_20,0.012880990913183924
rsi14_lag3,0.012829685187517632
di_diff,0.012804421729220578
roc20,0.011172982391727483
rsi14_lag1,0.011116646451686673
rsi14,0.011060067927997977
rsi7,0.009527049689147969
dip,0.008817420436490095
srsi_k,0.008698765462036998
rsi21,0.007724657948991838
adx,0.0076668201125680855
h_c,0.00509068979772494
d_s,0.004427092467858978
d_c,0.002947657043420397
h_s,0.0027664369462256986
