iter	Passed	Remaining
0	148	73928
1	154	38426
2	161	26751
3	167	20818
4	173	17182
5	181	14981
6	188	13255
7	195	11996
8	201	10988
9	207	10162
10	212	9451
11	218	8886
12	224	8408
13	230	7993
14	236	7643
15	243	7370
16	249	7080
17	254	6802
18	259	6575
19	265	6365
20	270	6174
21	276	6017
22	283	5871
23	288	5725
24	294	5598
25	300	5472
26	305	5349
27	311	5254
28	317	5150
29	323	5070
30	329	4981
31	334	4890
32	341	4833
33	347	4762
34	352	4684
35	359	4629
36	364	4561
37	370	4507
38	376	4455
39	382	4395
40	390	4374
41	396	4321
42	401	4267
43	406	4217
44	412	4167
45	418	4125
46	423	4081
47	428	4036
48	435	4005
49	441	3972
50	446	3934
51	454	3912
52	459	3876
53	465	3848
54	472	3826
55	479	3801
56	486	3780
57	492	3756
58	500	3740
59	507	3723
60	513	3697
61	520	3678
62	527	3660
63	533	3634
64	538	3604
65	544	3579
66	550	3556
67	556	3535
68	562	3511
69	569	3498
70	574	3473
71	579	3446
72	586	3431
73	592	3408
74	597	3387
75	603	3368
76	608	3344
77	614	3325
78	620	3305
79	625	3285
80	632	3269
81	637	3251
82	643	3231
83	651	3226
84	657	3209
85	664	3198
86	670	3180
87	675	3160
88	681	3148
89	686	3128
90	692	3111
91	699	3103
92	705	3087
93	712	3077
94	719	3065
95	725	3052
96	734	3050
97	742	3044
98	749	3035
99	755	3023
100	762	3012
101	769	3004
102	775	2989
103	783	2981
104	788	2967
105	795	2957
106	802	2946
107	808	2933
108	814	2920
109	820	2909
110	827	2899
111	833	2886
112	838	2871
113	844	2859
114	849	2844
115	854	2830
116	860	2818
117	866	2805
118	871	2791
119	879	2784
120	884	2771
121	890	2760
122	897	2750
123	902	2736
124	908	2726
125	914	2713
126	919	2701
127	927	2695
128	934	2687
129	941	2680
130	947	2668
131	953	2657
132	959	2648
133	965	2636
134	970	2625
135	977	2615
136	983	2605
137	989	2596
138	996	2586
139	1000	2573
140	1006	2562
141	1012	2552
142	1017	2540
143	1024	2532
144	1030	2523
145	1037	2514
146	1044	2508
147	1050	2498
148	1056	2488
149	1061	2477
150	1066	2465
151	1072	2455
152	1078	2445
153	1083	2433
154	1091	2429
155	1097	2420
156	1105	2415
157	1111	2406
158	1118	2397
159	1123	2387
160	1129	2377
161	1137	2372
162	1144	2365
163	1150	2357
164	1158	2352
165	1164	2342
166	1170	2334
167	1176	2324
168	1182	2315
169	1187	2305
170	1193	2297
171	1201	2291
172	1207	2282
173	1212	2272
174	1219	2265
175	1225	2256
176	1231	2246
177	1236	2237
178	1242	2228
179	1249	2220
180	1255	2211
181	1260	2201
182	1266	2193
183	1271	2184
184	1276	2173
185	1282	2165
186	1289	2157
187	1294	2148
188	1302	2143
189	1308	2134
190	1314	2126
191	1319	2116
192	1324	2107
193	1330	2099
194	1336	2090
195	1341	2081
196	1348	2074
197	1355	2067
198	1361	2059
199	1368	2053
200	1373	2043
201	1379	2035
202	1385	2026
203	1390	2018
204	1396	2009
205	1402	2000
206	1407	1992
207	1414	1985
208	1419	1975
209	1424	1967
210	1432	1961
211	1437	1952
212	1443	1945
213	1449	1937
214	1455	1929
215	1462	1922
216	1468	1914
217	1473	1906
218	1479	1898
219	1485	1890
220	1491	1882
221	1497	1874
222	1503	1867
223	1509	1860
224	1516	1853
225	1521	1844
226	1527	1836
227	1532	1828
228	1537	1819
229	1544	1812
230	1550	1805
231	1556	1797
232	1563	1791
233	1568	1783
234	1574	1775
235	1579	1767
236	1584	1758
237	1591	1751
238	1596	1743
239	1602	1735
240	1609	1729
241	1614	1721
242	1620	1713
