outcome,exit_bar,exit_price,pnl_pct,bars,entry_price,entry_bar,entry_ts,exit_ts,fold
SL,4144,39351.941849999996,-0.016000000000000087,2,39951.21,4142,2021-07-30 00:00:00+00:00,2021-07-30 08:00:00+00:00,1
TRAIL,4149,41570.20125,0.06337181115672362,4,39056.09,4145,2021-07-30 12:00:00+00:00,2021-07-31 04:00:00+00:00,1
TRAIL,4155,41784.3107,0.010809458013755102,3,41296.62,4152,2021-07-31 16:00:00+00:00,2021-08-01 04:00:00+00:00,1
SL,4158,40972.06985,-0.016000000000000052,2,41596.01,4156,2021-08-01 08:00:00+00:00,2021-08-01 16:00:00+00:00,1
SL,4166,38560.2678,-0.016000000000000042,1,39147.48,4165,2021-08-02 20:00:00+00:00,2021-08-03 00:00:00+00:00,1
SL,4179,38858.25,-0.016,1,39450.0,4178,2021-08-05 00:00:00+00:00,2021-08-05 04:00:00+00:00,1
SL,4184,40083.77715,-0.016000000000000014,2,40694.19,4182,2021-08-05 16:00:00+00:00,2021-08-06 00:00:00+00:00,1
TRAIL,4207,45296.96844999999,0.04064102900784961,5,43486.16,4202,2021-08-09 00:00:00+00:00,2021-08-09 20:00:00+00:00,1
SL,4210,45282.84355,-0.016000000000000056,1,45972.43,4209,2021-08-10 04:00:00+00:00,2021-08-10 08:00:00+00:00,1
TRAIL,4219,45751.693699999996,0.011697174247853905,8,45178.06,4211,2021-08-10 12:00:00+00:00,2021-08-11 20:00:00+00:00,1
SL,4221,45249.4619,-0.015999999999999973,1,45938.54,4220,2021-08-12 00:00:00+00:00,2021-08-12 04:00:00+00:00,1
SL,4223,44092.845349999996,-0.01600000000000004,1,44764.31,4222,2021-08-12 08:00:00+00:00,2021-08-12 12:00:00+00:00,1
TRAIL,4234,47075.63219999999,0.059618153528583503,9,44385.09,4225,2021-08-12 20:00:00+00:00,2021-08-14 08:00:00+00:00,1
SL,4255,45068.15295,-0.015999999999999952,2,45754.47,4253,2021-08-17 12:00:00+00:00,2021-08-17 20:00:00+00:00,1
SL,4263,44043.37865,-0.015999999999999952,2,44714.09,4261,2021-08-18 20:00:00+00:00,2021-08-19 04:00:00+00:00,1
TRAIL,4276,48592.7489,0.09751359556911944,12,44235.0,4264,2021-08-19 08:00:00+00:00,2021-08-21 08:00:00+00:00,1
SL,4295,49053.0,-0.016,2,49800.0,4293,2021-08-24 04:00:00+00:00,2021-08-24 12:00:00+00:00,1
SL,4300,47282.70875,-0.016000000000000042,2,48002.75,4298,2021-08-25 00:00:00+00:00,2021-08-25 08:00:00+00:00,1
SL,4304,48079.81015,-0.01600000000000001,3,48811.99,4301,2021-08-25 12:00:00+00:00,2021-08-26 00:00:00+00:00,1
TRAIL,4322,48347.7203,0.03093669821034313,16,46851.44,4306,2021-08-26 08:00:00+00:00,2021-08-29 00:00:00+00:00,1
TRAIL,4349,49364.654,0.045963286781510765,10,47150.32,4339,2021-08-31 20:00:00+00:00,2021-09-02 12:00:00+00:00,1
SL,4397,45654.74015,-0.016000000000000004,1,46349.99,4396,2021-09-10 08:00:00+00:00,2021-09-10 12:00:00+00:00,1
TRAIL,4430,47532.0221,0.01578320635671047,9,46747.45,4421,2021-09-14 12:00:00+00:00,2021-09-16 00:00:00+00:00,1
SL,4474,43393.14075,-0.015999999999999966,2,44053.95,4472,2021-09-23 00:00:00+00:00,2021-09-23 08:00:00+00:00,1
SL,4479,44072.81045,-0.016000000000000087,3,44743.97,4476,2021-09-23 16:00:00+00:00,2021-09-24 04:00:00+00:00,1
SL,4484,42156.51265,-0.016000000000000025,1,42798.49,4483,2021-09-24 20:00:00+00:00,2021-09-25 00:00:00+00:00,1
SL,4490,42011.806300000004,-0.015999999999999952,1,42651.58,4489,2021-09-25 20:00:00+00:00,2021-09-26 00:00:00+00:00,1
TRAIL,4498,43368.45665,0.006189846133909167,6,43058.87,4492,2021-09-26 08:00:00+00:00,2021-09-27 08:00:00+00:00,1
SL,4501,42617.541900000004,-0.01599999999999993,2,43266.54,4499,2021-09-27 12:00:00+00:00,2021-09-27 20:00:00+00:00,1
TRAIL,4511,41792.830949999996,0.01818023733902472,4,41006.32,4507,2021-09-28 20:00:00+00:00,2021-09-29 12:00:00+00:00,1
TRAIL,4516,42913.46545,0.040628913196185806,4,41198.42,4512,2021-09-29 16:00:00+00:00,2021-09-30 08:00:00+00:00,1
TRAIL,4523,46770.03595,0.044047523147661825,2,44753.98,4521,2021-10-01 04:00:00+00:00,2021-10-01 12:00:00+00:00,1
SL,4552,50683.2932,-0.01600000000000005,3,51455.12,4549,2021-10-05 20:00:00+00:00,2021-10-06 08:00:00+00:00,1
TRAIL,4565,54471.47515,0.011198927287731548,4,53814.99,4561,2021-10-07 20:00:00+00:00,2021-10-08 12:00:00+00:00,1
SL,4567,53891.123,-0.01600000000000006,1,54711.8,4566,2021-10-08 16:00:00+00:00,2021-10-08 20:00:00+00:00,1
TRAIL,4576,54863.515,0.004060796237070653,8,54587.26,4568,2021-10-09 00:00:00+00:00,2021-10-10 08:00:00+00:00,1
SL,4579,54552.4914,-0.015999999999999983,2,55383.24,4577,2021-10-10 12:00:00+00:00,2021-10-10 20:00:00+00:00,1
TRAIL,4586,56639.3715,0.0007887274170544246,6,56538.24,4580,2021-10-11 00:00:00+00:00,2021-10-12 00:00:00+00:00,1
SL,4589,56475.2705,-0.016000000000000073,2,57335.3,4587,2021-10-12 04:00:00+00:00,2021-10-12 12:00:00+00:00,1
SL,4591,54538.61275,-0.01600000000000002,1,55369.15,4590,2021-10-12 16:00:00+00:00,2021-10-12 20:00:00+00:00,1
SL,4593,55431.3675,-0.015999999999999993,1,56275.5,4592,2021-10-13 00:00:00+00:00,2021-10-13 04:00:00+00:00,1
TRAIL,4600,57246.02315,0.03588699917822127,6,55209.51,4594,2021-10-13 08:00:00+00:00,2021-10-14 08:00:00+00:00,1
TRAIL,4613,60855.9004,0.05958499577201361,12,57379.56,4601,2021-10-14 12:00:00+00:00,2021-10-16 12:00:00+00:00,1
SL,4624,61242.38485,-0.015999999999999997,2,62175.01,4622,2021-10-18 00:00:00+00:00,2021-10-18 08:00:00+00:00,1
TRAIL,4631,61695.465149999996,0.002996184696801702,5,61449.9,4626,2021-10-18 16:00:00+00:00,2021-10-19 12:00:00+00:00,1
TRAIL,4639,65911.01890000001,0.02533181506256871,7,64219.99,4632,2021-10-19 16:00:00+00:00,2021-10-20 20:00:00+00:00,1
SL,4649,62330.740900000004,-0.01599999999999997,3,63279.94,4646,2021-10-22 00:00:00+00:00,2021-10-22 12:00:00+00:00,1
