fold,train_start,train_end,test_start,test_end,n_train,n_test,auc_tr,auc_te,threshold,n_trades,wr,pf,total_pnl,passes
1,2020-01-21 04:00:00+00:00,2021-05-21 04:00:00+00:00,2021-06-04 08:00:00+00:00,2021-10-23 08:00:00+00:00,2842,842,0.8547207000815248,0.5264299570095418,0.5,101,0.297029702970297,1.0972717600560025,0.09691992391197413,False
2,2020-01-21 04:00:00+00:00,2021-10-09 08:00:00+00:00,2021-10-23 12:00:00+00:00,2022-03-15 00:00:00+00:00,3684,842,0.835119464505092,0.524754186925986,0.5,98,0.2755102040816326,0.7333830876997599,-0.2727807855136959,False
3,2020-01-21 04:00:00+00:00,2022-02-28 20:00:00+00:00,2022-03-15 04:00:00+00:00,2022-08-05 00:00:00+00:00,4526,842,0.8183969660222297,0.5682592411659338,0.5,46,0.3695652173913043,0.8271544197576961,-0.06916399512159463,False
4,2020-01-21 04:00:00+00:00,2022-07-22 00:00:00+00:00,2022-08-05 04:00:00+00:00,2023-01-02 08:00:00+00:00,5368,842,0.8011258466468152,0.430707535655752,0.5,76,0.27631578947368424,0.5981923852706981,-0.31442635515242434,False
5,2020-01-21 04:00:00+00:00,2022-12-12 04:00:00+00:00,2023-01-02 12:00:00+00:00,2023-06-11 16:00:00+00:00,6210,842,0.7975298228387583,0.49483350279613625,0.51,120,0.31666666666666665,0.9083460949890508,-0.10794937740012084,False
6,2020-01-21 04:00:00+00:00,2023-05-23 16:00:00+00:00,2023-06-11 20:00:00+00:00,2023-12-19 00:00:00+00:00,7052,842,0.7975934481294913,0.4902716414618164,0.51,81,0.20987654320987653,0.7856849864472325,-0.18565118246844012,False
7,2020-01-21 04:00:00+00:00,2023-12-03 20:00:00+00:00,2023-12-19 04:00:00+00:00,2024-05-15 12:00:00+00:00,7894,842,0.8035540892500238,0.4963367548733402,0.5,115,0.3565217391304348,0.8662740650311249,-0.14142342829126886,False
8,2020-01-21 04:00:00+00:00,2024-04-30 16:00:00+00:00,2024-05-15 16:00:00+00:00,2024-10-14 12:00:00+00:00,8736,842,0.7973708535009724,0.5035336264452044,0.5,99,0.3333333333333333,1.048924299444096,0.046796382279081145,False
9,2020-01-21 04:00:00+00:00,2024-09-29 08:00:00+00:00,2024-10-14 16:00:00+00:00,2025-03-09 20:00:00+00:00,9578,842,0.7877523492334356,0.5154792483439232,0.51,116,0.31896551724137934,0.7732558621192123,-0.250585946075793,False
10,2020-01-21 04:00:00+00:00,2025-02-23 20:00:00+00:00,2025-03-10 00:00:00+00:00,2025-08-01 12:00:00+00:00,10420,842,0.7833002943382306,0.5279720497087476,0.51,81,0.35802469135802467,1.453341092600025,0.3277581507291358,True
11,2020-01-21 04:00:00+00:00,2025-07-18 12:00:00+00:00,2025-08-01 16:00:00+00:00,2025-12-28 12:00:00+00:00,11262,842,0.7750764216065384,0.567342648153826,0.51,50,0.5,1.3838122052997963,0.14954240928030876,True
