fold,train_start,train_end,test_start,test_end,n_train,n_test,auc_tr,auc_te,threshold,n_trades,wr,pf,total_pnl,passes
1,2020-09-08 04:00:00+00:00,2021-12-11 08:00:00+00:00,2021-12-25 12:00:00+00:00,2022-05-02 20:00:00+00:00,2752,752,0.8174197762056687,0.5538345502188838,0.5,30,0.43333333333333335,1.1470588235294115,0.06499999999999985,False
2,2020-09-08 04:00:00+00:00,2022-04-18 08:00:00+00:00,2022-05-03 00:00:00+00:00,2022-09-06 08:00:00+00:00,3504,752,0.8103947039764463,0.5053137750906513,0.5,24,0.375,0.8999999999999996,-0.03900000000000023,False
3,2020-09-08 04:00:00+00:00,2022-08-23 00:00:00+00:00,2022-09-06 12:00:00+00:00,2023-01-18 08:00:00+00:00,4256,752,0.8032584489139148,0.4475687929956223,0.5,32,0.25,0.5000000000000001,-0.3120000000000002,False
4,2020-09-08 04:00:00+00:00,2023-01-04 08:00:00+00:00,2023-01-18 12:00:00+00:00,2023-06-05 12:00:00+00:00,5008,752,0.8071802737747094,0.46258710427542515,0.5,105,0.2761904761904762,0.5723684210526315,-0.8450000000000011,False
5,2020-09-08 04:00:00+00:00,2023-05-15 08:00:00+00:00,2023-06-05 16:00:00+00:00,2023-10-28 20:00:00+00:00,5760,752,0.8046120944684086,0.541564611568577,0.5,65,0.38461538461538464,0.9374999999999999,-0.06500000000000009,False
6,2020-09-08 04:00:00+00:00,2023-10-14 08:00:00+00:00,2023-10-29 00:00:00+00:00,2024-03-03 20:00:00+00:00,6512,752,0.7980496640462548,0.51821824009324,0.5,121,0.4793388429752066,1.3809523809523807,0.6239999999999999,True
7,2020-09-08 04:00:00+00:00,2024-02-18 08:00:00+00:00,2024-03-04 00:00:00+00:00,2024-07-13 00:00:00+00:00,7264,752,0.788614857669242,0.5052213868003341,0.5,95,0.3473684210526316,0.7983870967741936,-0.3249999999999999,False
8,2020-09-08 04:00:00+00:00,2024-06-28 12:00:00+00:00,2024-07-13 04:00:00+00:00,2024-11-23 16:00:00+00:00,8016,752,0.7839295214209715,0.4793796084413934,0.5,73,0.3287671232876712,0.7346938775510204,-0.3380000000000003,False
9,2020-09-08 04:00:00+00:00,2024-11-09 12:00:00+00:00,2024-11-23 20:00:00+00:00,2025-04-03 04:00:00+00:00,8768,752,0.7729980209294186,0.44221694221694224,0.5,79,0.2911392405063291,0.6160714285714285,-0.5590000000000007,False
10,2020-09-08 04:00:00+00:00,2025-03-18 08:00:00+00:00,2025-04-03 08:00:00+00:00,2025-08-15 08:00:00+00:00,9520,752,0.7608013098222846,0.5195970498291059,0.5,56,0.4642857142857143,1.2999999999999998,0.2340000000000001,True
11,2020-09-08 04:00:00+00:00,2025-07-31 20:00:00+00:00,2025-08-15 12:00:00+00:00,2025-12-30 20:00:00+00:00,10272,752,0.7511945432367156,0.5161008787769351,0.5,43,0.3488372093023256,0.8035714285714287,-0.14300000000000007,False
