run,n_trades,total_pnl_pct,wr,pf,annual_pct
real,1191,833.8311575238978,0.5096557514693535,1.5609441851160317,154.7544869337417
synth_00,1266,-387.9864107660951,0.3546603475513428,0.8169204687891505,-72.00814864446964
synth_01,1262,-467.8202175268323,0.34310618066561016,0.7826994345613922,-86.82486506690829
synth_02,1213,-251.7718930009316,0.36933223413025557,0.8732671815908619,-46.72748166595034
synth_03,1264,-447.3949006917765,0.34572784810126583,0.7917023922910316,-83.03403835247529
synth_04,1302,-321.21407261469193,0.3617511520737327,0.8511598266788926,-59.615569117132225
synth_05,1301,-505.219459150265,0.3412759415833974,0.7730097627827637,-93.76595907247676
synth_06,1289,-152.91227659352333,0.3816912335143522,0.9260586299320256,-28.37967938302053
synth_07,1245,-273.2211911880505,0.3654618473895582,0.8664549642350508,-50.70835369991639
synth_08,1293,-281.08812444635436,0.3665893271461717,0.8679606046348914,-52.16841334046287
synth_09,1321,-623.3467578396538,0.32778198334595005,0.7300126655233656,-115.68973744966135
synth_10,1259,-228.01902771525997,0.3725178713264496,0.8889878151337587,-42.319080220019664
synth_11,1304,-362.818529008369,0.35736196319018404,0.8333753508143641,-67.33712790665996
synth_12,1226,-400.9745924418692,0.35073409461663946,0.8060782030392613,-74.41868388688656
synth_13,1285,-203.2809479369434,0.377431906614786,0.9022687750303158,-37.727828370918985
synth_14,1266,-339.3679378390575,0.3593996840442338,0.8388566373500383,-62.98482687790434
synth_15,1251,-224.3831150578186,0.3749000799360512,0.8895519601730175,-41.64427478397777
synth_16,1306,-300.58525838618084,0.3652373660030628,0.8603151441235107,-55.78697440322793
synth_17,1234,-543.7569835169537,0.33306320907617504,0.7453288459776687,-100.91831210851998
synth_18,1280,-439.0006726065784,0.3484375,0.7974653404199016,-81.47611568574835
synth_19,1260,-415.49669552230847,0.3492063492063492,0.8046839159076887,-77.11390652414795
