outcome,exit_bar,exit_price,pnl_pct,bars,entry_price,entry_bar,entry_ts,exit_ts,fold
TP,3017,200.824,0.03900000000000009,7,193.1,3010,2021-12-25 20:00:00+00:00,2021-12-27 00:00:00+00:00,1
TP,3043,177.4552,0.03899999999999997,9,170.63,3034,2021-12-29 20:00:00+00:00,2021-12-31 08:00:00+00:00,1
TP,3528,92.3,0.038999999999999965,3,88.75,3525,2022-03-21 16:00:00+00:00,2022-03-22 04:00:00+00:00,1
TP,3536,94.7752,0.03900000000000003,2,91.13,3534,2022-03-23 04:00:00+00:00,2022-03-23 12:00:00+00:00,1
SL,3575,108.8295,-0.02600000000000008,1,111.62,3574,2022-03-29 20:00:00+00:00,2022-03-30 00:00:00+00:00,1
TP,3578,116.8232,0.039000000000000014,2,112.33,3576,2022-03-30 04:00:00+00:00,2022-03-30 12:00:00+00:00,1
TP,3583,126.0064,0.03900000000000002,4,121.16,3579,2022-03-30 16:00:00+00:00,2022-03-31 08:00:00+00:00,1
SL,3585,122.16749999999999,-0.02600000000000006,1,125.3,3584,2022-03-31 12:00:00+00:00,2022-03-31 16:00:00+00:00,1
SL,3587,119.70075,-0.025999999999999975,1,122.77,3586,2022-03-31 20:00:00+00:00,2022-04-01 00:00:00+00:00,1
SL,3590,123.28875,-0.026000000000000075,2,126.45,3588,2022-04-01 04:00:00+00:00,2022-04-01 12:00:00+00:00,1
SL,3592,134.004,-0.026000000000000054,1,137.44,3591,2022-04-01 16:00:00+00:00,2022-04-01 20:00:00+00:00,1
TP,3596,140.1712,0.03899999999999998,3,134.78,3593,2022-04-02 00:00:00+00:00,2022-04-02 12:00:00+00:00,1
SL,3598,132.47325,-0.02599999999999998,1,135.87,3597,2022-04-02 16:00:00+00:00,2022-04-02 20:00:00+00:00,1
TP,3601,140.868,0.03900000000000005,2,135.45,3599,2022-04-03 00:00:00+00:00,2022-04-03 08:00:00+00:00,1
SL,3608,131.90775,-0.025999999999999995,5,135.29,3603,2022-04-03 16:00:00+00:00,2022-04-04 12:00:00+00:00,1
SL,3616,128.22224999999997,-0.02600000000000013,2,131.51,3614,2022-04-05 12:00:00+00:00,2022-04-05 20:00:00+00:00,1
SL,3619,122.37225000000001,-0.025999999999999975,1,125.51,3618,2022-04-06 04:00:00+00:00,2022-04-06 08:00:00+00:00,1
SL,3621,114.68924999999999,-0.02600000000000007,1,117.63,3620,2022-04-06 12:00:00+00:00,2022-04-06 16:00:00+00:00,1
TP,3625,117.468,0.03900000000000001,3,112.95,3622,2022-04-06 20:00:00+00:00,2022-04-07 08:00:00+00:00,1
TP,3627,117.7592,0.03900000000000002,1,113.23,3626,2022-04-07 12:00:00+00:00,2022-04-07 16:00:00+00:00,1
TP,3645,114.3168,0.038999999999999986,11,109.92,3634,2022-04-08 20:00:00+00:00,2022-04-10 16:00:00+00:00,1
SL,3650,101.33175,-0.026000000000000068,1,103.93,3649,2022-04-11 08:00:00+00:00,2022-04-11 12:00:00+00:00,1
SL,3652,98.83575,-0.026000000000000002,1,101.37,3651,2022-04-11 16:00:00+00:00,2022-04-11 20:00:00+00:00,1
SL,3668,102.9795,-0.026000000000000027,3,105.62,3665,2022-04-14 00:00:00+00:00,2022-04-14 12:00:00+00:00,1
SL,3688,101.46825,-0.02599999999999996,1,104.07,3687,2022-04-17 16:00:00+00:00,2022-04-17 20:00:00+00:00,1
TP,3693,100.6616,0.03900000000000001,2,96.79,3691,2022-04-18 08:00:00+00:00,2022-04-18 16:00:00+00:00,1
TP,3698,106.42320000000001,0.0390000000000001,4,102.33,3694,2022-04-18 20:00:00+00:00,2022-04-19 12:00:00+00:00,1
SL,3712,103.38900000000001,-0.025999999999999964,7,106.04,3705,2022-04-20 16:00:00+00:00,2022-04-21 20:00:00+00:00,1
SL,3740,98.46525,-0.025999999999999978,4,100.99,3736,2022-04-25 20:00:00+00:00,2022-04-26 12:00:00+00:00,1
SL,3746,97.032,-0.026,2,99.52,3744,2022-04-27 04:00:00+00:00,2022-04-27 12:00:00+00:00,1
TP,3789,89.2944,0.03899999999999996,5,85.86,3784,2022-05-03 20:00:00+00:00,2022-05-04 16:00:00+00:00,2
SL,3794,91.96199999999999,-0.026000000000000047,3,94.32,3791,2022-05-05 00:00:00+00:00,2022-05-05 12:00:00+00:00,2
SL,4303,42.392999999999994,-0.02600000000000008,2,43.48,4301,2022-07-29 00:00:00+00:00,2022-07-29 08:00:00+00:00,2
TP,4310,43.513600000000004,0.03900000000000001,5,41.84,4305,2022-07-29 16:00:00+00:00,2022-07-30 12:00:00+00:00,2
SL,4318,42.744,-0.026000000000000082,6,43.84,4312,2022-07-30 20:00:00+00:00,2022-07-31 20:00:00+00:00,2
SL,4323,41.408249999999995,-0.026000000000000086,1,42.47,4322,2022-08-01 12:00:00+00:00,2022-08-01 16:00:00+00:00,2
SL,4355,39.28275,-0.025999999999999978,4,40.29,4351,2022-08-06 08:00:00+00:00,2022-08-07 00:00:00+00:00,2
TP,4361,41.589600000000004,0.039000000000000055,5,39.99,4356,2022-08-07 04:00:00+00:00,2022-08-08 00:00:00+00:00,2
SL,4369,41.4375,-0.026000000000000002,5,42.5,4364,2022-08-08 12:00:00+00:00,2022-08-09 08:00:00+00:00,2
TP,4376,40.851200000000006,0.03900000000000012,3,39.28,4373,2022-08-10 00:00:00+00:00,2022-08-10 12:00:00+00:00,2
TP,4380,44.1688,0.038999999999999965,2,42.47,4378,2022-08-10 20:00:00+00:00,2022-08-11 04:00:00+00:00,2
SL,4385,42.3735,-0.02600000000000002,3,43.46,4382,2022-08-11 12:00:00+00:00,2022-08-12 00:00:00+00:00,2
TP,4390,44.876,0.03899999999999998,4,43.15,4386,2022-08-12 04:00:00+00:00,2022-08-12 20:00:00+00:00,2
SL,4394,46.234500000000004,-0.025999999999999947,3,47.42,4391,2022-08-13 00:00:00+00:00,2022-08-13 12:00:00+00:00,2
